                  创业板指 (399006)													
													
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   				
2017	4	24	13	10	1810.08	1810.48	1808.37	1809.42	53567	1809.78	1831.7	1840.73	           
2017	4	24	13	15	1809.48	1809.62	1807.25	1808.94	67263	1809.17	1830.92	1840.34	           
2017	4	24	13	20	1808.97	1812.22	1808.97	1811.77	66822	1810.36	1830.19	1840.03	           
2017	4	24	13	25	1811.89	1813.74	1810.06	1813.74	64948	1812.77	1829.49	1839.71	           
2017	4	24	13	30	1813.63	1815.26	1811.9	1814.45	77173	1814.09	1828.78	1839.41	           
2017	4	24	13	35	1814.54	1816.56	1811.69	1811.73	84710	1813.09	1828.04	1839.05	           
2017	4	24	13	40	1811.82	1812.51	1808.43	1808.43	82689	1810.08	1827.24	1838.68	           
2017	4	24	13	45	1808.44	1811.73	1806.04	1810.88	93597	1809.64	1826.47	1838.33	           
2017	4	24	13	50	1810.99	1812.63	1810.95	1810.97	68458	1810.92	1825.71	1837.97	           
2017	4	24	13	55	1811.14	1816.71	1811.14	1816.71	93702	1813.84	1825.07	1837.7	           
2017	4	24	14	0	1816.68	1817.24	1816.07	1816.93	72449	1816.83	1824.46	1837.45	           
2017	4	24	14	5	1816.85	1817.15	1815.98	1816.22	61093	1816.58	1823.85	1837.21	           
